name,description,cuisine,vibe,address
St. James,"Open for: Dinner only on weekdays, with lunch on weekends Price range: $$ Jeanine Prime's culinary ode to her native Trinidad comes to life at St. James, her lively restaurant named after the bustling district in Port of Spain, the country's capital. Prime's small and large-format dishes pay homage to the melting pot port city, including Trini-style Chinese steamed buns stuffed with spicy pork and curry crab. A vast collection of imported rums lined along the soaring mirrored bar help build fragrant and floral cocktails like a hibiscus highball. Also worth checking out: Prime's Bib Gourmand-designated sibling Cane, which focuses on Caribbean street foods. Must-try dish: Callaloo, a West African stew full of leafy greens","Trinidadian","Lively space with soaring mirrored bar","2017 14th St NW, Washington, D.C. 20009"
BRESCA,"Open for: Dinner only Price range: $$$ Chef Ryan Ratino's buzzy bistro on lower 14th Street NW whips up dinners dreamed up by the ambitious chef, who's among the youngest to have a restaurant earn a Michelin star. For spring, sample yellowtail crudo with shiso, cacio e pepe with taleggio and Pecorino, or its much-loved Amish chicken. The restaurant pushes boundaries everywhere: The menu incorporates a vintage French duck press gifted by gourmet supplier D'Artagnan into a theatrical tableside offering, while the bar program spearheaded by beverage director Will Patton is also not to miss. Chef's tasting menus ($175) can be augmented with seasonal delicacies, and there's now a la carte availability and an abbreviated prix fixe option ($95). This fast-growing team, which is also behind two-Michelin-starred tasting room Jônt upstairs, is a 2025 James Beard finalist for Best New Restaurant (Ômo by Jônt in Winter Park, Florida). Must-try dish: Pull-apart brioche bread with cultured butter accented by fleur de sel","Modern French","Buzzy bistro with theatrical tableside offerings","1906 14th St NW, Washington, DC 20009"
Anju,Open for: Brunch, dinner Price range: $$$ Situated between Dupont Circle and Adams Morgan, Anju, which is from the 2025 James Beard Award-nominated restaurant group behind casual hit Chiko, serves Korean bar food with a refined touch. James Beard Award-nominated chef Angel Barreto leads a kitchen that plates up standouts ranging from pork and kimchi mandu (dumplings) and smoky gochujang-glazed fried chicken with white barbecue sauce to a seafood fried rice (bokkeumbap) and seared rib-eye galbi boards. Weekend brunches brings on a smash galbi burger with caramelized onions and pickled gochu peppers (plus an impossible version), the gochujang chicken with corn cheese waffle, and a juk (rice porridge) topped with kimchi, lamb sausage, and a poached egg. Meanwhile, Chiko's Capitol Hill flagship that started it all recently brought back its experimental tasting menu a few nights a week ($75 or $105). Best for: Happy hour down in the bar from 5 to 6 p.m. on weekdays, where you can sample the flavorful mandu ($6 for 3) or a honey barbecue chicken sandwich ($10) before committing to a full meal., dinner Price range: $$$ Situated between Dupont Circle and Adams Morgan, Anju, which is from the 2025 James Beard Award-nominated restaurant group behind casual hit Chiko, serves Korean bar food with a refined touch. James Beard Award-nominated chef Angel Barreto leads a kitchen that plates up standouts ranging from pork and kimchi mandu (dumplings) and smoky gochujang-glazed fried chicken with white barbecue sauce to a seafood fried rice (bokkeumbap) and seared rib-eye galbi boards. Weekend brunches brings on a smash galbi burger with caramelized onions and pickled gochu peppers (plus an impossible version), the gochujang chicken with corn cheese waffle, and a juk (rice porridge) topped with kimchi, lamb sausage, and a poached egg. Meanwhile, Chiko's Capitol Hill flagship that started it all recently brought back its experimental tasting menu a few nights a week ($75 or $105). Best for: Happy hour down in the bar from 5 to 6 p.m. on weekdays, where you can sample the flavorful mandu ($6 for 3) or a honey barbecue chicken sandwich ($10) before committing to a full meal.","Korean","Refined Korean bar food with happy hour deals","1805 18th St NW, Washington, DC 20009"
Joon,"Open for: Weekday lunch, brunch, and dinner Price range: $$$$ Joon continues to rack up accolades for its upscale takes on Iranian cuisine since opening in June 2023, with James Beard semifinalist nods, joining the New York Times's 50 Best Restaurants in America, and more. It's easy to see why, with the tucked-away Tysons Corner spot serving up inventive Persian dishes like the sour orange and ginger infused pistachio soup and braised lamb shoulder served with pickled garlic and tomato honey, all dreamed up by Persian cookbook author and executive chef Najmieh Batmanglij and chef-owner Christopher Morgan. If you're looking for smaller bites, any iteration of the hummus and kashke bademjan (a roasted eggplant dip topped with crispy onions) pairs perfectly with drinks at May Bar, a beautiful lounge in front of the royal blue dining room where diners sip on classic cocktails with Persian flavors. Great choices include a rich fig Old Fashioned or the Tehrooni Negroni with saffron ice. During the warmer months, don't miss Morgan's lively outdoor grilling nights, Live Fire Fridays, that combine entrees grilled on the patio by Morgan himself and eclectic live DJs. If you drive: There is complimentary valet parking at the entrance, along with free self-parking in the massive lot in front of nearby Patsy's.","Persian","Royal blue dining room with live fire Fridays","8045 Leesburg Pike, VA 22182"
SURA Restaurant,"Open for: Dinner Price range: $$ This family-run underground lounge landed in Dupont in spring 2022 with a star cast of Thai talent behind the wheel. Former sushi chef Billy Thammasathiti brings the heat with quail egg wontons, fiery papaya salads, boneless duck laap, and spicy beef or pork skewers, plus experimental orders like Parmesan-dusted egg noodles with tom yum herbs, bacon, and roasted chile jam or bite-sized calamari dressed with garlicky salt. Andy Thammasathiti of Baltimore's Mayuree Thai Tavern whips up passionfruit daiquiris and Sichuan baijiu cocktails behind a racy, red-lit bar fit for Bangkok. Billy's aunt Satang Ruangsangwatana, of Fat Nomads supper club fame, also contributes destination dishes like khao soi. The 50-seat lair swings open at 4 p.m. Know before you go: The stairs are steep, so it's best to read the Thai newspaper-wrapped walls while going up (not down).","Thai","Underground lair with red-lit bar and newspaper walls","2016 P St NW, Washington, DC 20036"
Amparo Fondita,"Open for: Dinner, plus Friday lunch and weekend brunch Price range: $$ After years of searching for the right space, acclaimed chef and Oyamel alum Christian Irabién finally found a Dupont home for his long-awaited ode to modern Mexican cuisine and his roots. The Chihuahua, Mexico native, who grew up working in his grandfather's Mexican restaurant in El Paso, seamlessly melds coastal flavors, seafood, and local seasonal ingredients, as in an expertly engineered salsa with ramps and a soft shell crab sandwich topped with red onion-habanero escabeche and green tomatoes. The constantly changing lineup may include a tropical big eye tuna ceviche surrounded with bright passionfruit and fresno; briny, mezcal-friendly oysters; and nixtamalized corn masa cakes topped with grilled pineapple. Must-try dish: Anything slathered with mole negro (all-Oaxacan chiles, chocolate, and sea salt), which takes Irabién three days to perfect.","Modern Mexican","Modern Mexican with coastal influences","2002 P Street Northwest, Washington, District of Columbia 20036"
Oyster Oyster,"Open for: Dinner only Price range: $$$ Chef Rob Rubba puts vegetables on a pedestal, so Oyster Oyster's presence in Shaw is ideal for diners who don't eat meat but still want to enjoy an avant-garde tasting menu with a Michelin star. Crowned Outstanding Chef at the James Beard Awards in 2023, Rubba first attracted D.C. critics' attention as the former chef at Hazel and partnered with Estadio owner Max Kuller on this venture — which prioritizes sourcing from hyperlocal farms and mills. Think: a bird's nest of fried celery root wrapped around a morsel of smoked tofu and shiitake chip cookie for dessert. The 28-seat Shaw dining room offers a vegetarian or vegan tasting menu ($135) and wine pairings ($85). The sustainably-minded restaurant also won a Michelin green star in 2024 for its environmental and ethical practices, like re-using empty wine bottles as pressed plates. Vibe check: Take notice of creative votive candles made of repurposed oyster shells and local beeswax.","Vegetarian Tasting Menu","Intimate 28-seat space with sustainable touches","1440 8th St NW, Washington, D.C. 20001"
Shia,"Open for: Dinner Price range: $$$$ This hidden Korean tasting menu spot is actually a nonprofit restaurant from celebrity chef Edward Lee (who created pint-sized Shia late last year) where the team experiments with sustainable alternatives for restaurants. That means not using any plastic in the kitchen, firing up all-electric cookware, and making physical menus and coasters from leftover paper. The research in the kitchen hasn't stopped the team from making cutting-edge Korean food in a prix fixe format that invites diners into the open kitchen, where they snack on first bites while chatting with chef de cuisine Max Chuvalas at the counter before diving into black sesame guksu (saucy cold noodles) topped with caviar, delicate seared black grouper with house-made fish cake, and a Korean mustard-glazed duck with umami-rich black garlic sauce. There are seven- ($185) and five-course ($90) options, plus a la carte snacks at the bar and beverage pairings. Don't skip out on the drinks, there are plenty of rare soju and sake options on the menu, along with Korean takes on classic cocktails like a toasted pine nut Old Fashioned. Know before you go: The five-course menu is served in the front bar area, not in the open kitchen dining room, but you can ask for a peek into the cave-like kitchen during the shortened tasting.","Korean Tasting Menu","Hidden spot with cave-like kitchen and open counter","1252 4th Street Northeast, Washington, District of Columbia 20002"
Tabard Inn,"Open for: Lunch, dinner, weekend brunch Price range: $$ D.C.'s century-old boutique hotel hideaway got a big 2023 glow-up full of French-Southern flair under culinary partner Ian Boden, the James Beard-nominated chef behind The Shack in Staunton, Virginia. Overseeing the fine-tuned changes in the charming Dupont dining room is executive chef Matthew Zafrir, a fine dining vet who honors his Maryland roots with memorable meals marked by mid-Atlantic ingredients. Highlights include crab fritters, local oysters doused in homemade hot sauce, honeynut squash, duck confit atop Carolina gold rice, and bone-in Berkshire pork chop with kohlrabi slaw. Zafrir's close ties to family-run farm Earth N Eats also pay off on the plate, where wonderfully unique veggies show up morning to night (as do herbs plucked from Tabard's outdoor garden). Swing by the eclectic bar up front on whiskey Wednesdays, when beverage director and Fabio Trabocchi alum Dominik Lenikowski pulls a rare bottle from the cellar to sip until it's gone. Must-try dish: Homemade doughnuts during brunch","French-Southern","Charming century-old hotel with eclectic bar","1739 N St NW (btwn 17th & 18th St NW), Washington, D.C. 20036"
Causa/Amazonia,"Open for: Dinner only (and Amazonia starts service at 3 p.m. on weekends)Price range: $$$$ for Causa and $ for Amazonia Causa, named for Peru's iconic national dish, sailed into Blagden Alley in 2022 with an ambitious, prix fixe format that aims to capture the bounty of the South American country. The fine dining venture with a Michelin star joins Amazonia, its color-soaked, more casual counterpart up top with lots of skewers, scented walls, leafy patio, and a polished lineup of pisco sours that are just $9 at happy hour. At Causa, six-course menus ($179) send diners on a seafaring voyage along the Peruvian coastline and into the Andes Mountains. The intimate space with 26 seats lends itself to an immersive, personalized experience. Peruvian-born chef and co-owner Carlos Delgado is currently up for the 2025 James Beard Award for Best Chef: Mid-Atlantic. Vibe check: Amazonia's tropical bathrooms covered in monkey murals make for a great selfie.","Peruvian","Color-soaked space with tropical bathrooms","920 Blagden Alley NW, Washington, DC 20001"
Unconventional Diner,"Open for: Daily brunch, dinner Price range: $$ Situated right next to the convention center since 2017, chef David Deshaies continues raise eyebrows by applying classic French technique to American-style diner food. Think a haute take on meatloaf, or mini-pot pie poppers that explode with flavor. Regardless of the day or time, there's always something to on the menu from happy hour menu or daily brunch (9 a.m. to 4 p.m.), including popular offerings like chicken and waffles, blueberry-lavender pancakes, Cajun shrimp and grits, Lebanese fried rice, apple pie French toasts with caramelized apples and vanilla ice cream, and an everything lox bagel. Vibe check: This swanky diner with bright blue booths and an illuminated winding bar always gave playful vibes, but a new monthly drag bingo night with a buffet brings even more fun on the third Thursday of each month.","French-American Diner","Swanky diner with bright blue booths and drag bingo","1207 9th St NW (btwn M & N St NW), Washington, D.C. 20001"
Kyojin Sushi,"Open for: Dinner Price range: $$ The team behind outer Arlington's raw fish hit Yume Sushi sauntered into Georgetown in 2023 with a flashy flagship that was named Eater DC's best new restaurant that year. Tucked inside the mixed-use cluster of Cady's Alley, the striking sushi cave from executive chef Saran "Peter" Kannasute and co-owner Jeff King breathes new life into the old home of L2 lounge. Kannasute's calling cards like truffle wasabi, monkfish liver, uni with torched wagyu, and widespread use of edible flowers show up across a lengthy list of rolls, and a full kitchen with a hood gives the Bangkok-born chef room to build upon his boundary-pushing menus and introduce hot izakaya offerings for the first time. Kannasute taps into his Thai roots last fall with the opening of Rimtang, a fast-casual street food spot in the nearby space that formerly housed Kintaro. Vibe check: Rotating DJs on weekends, with a scene-y bar slinging stellar espresso martinis until late","Japanese Sushi & Izakaya","Flashy sushi cave with weekend DJs","3315 Cady's Alley Northwest, DC 20007"
Imperfecto,"Open for: Dinner and weekend brunch Price range: $$$$ Venezuelan chef Enrique Limardo's follow-up to tropically appointed (and recently relocated) Seven Reasons gives the West End a fine dining venue for Mediterranean-Latin fusion full of surreal plating and modernist technique. Sturdy staples like fried Spanish octopus with Amazonian chimichurri anchor the rotating dinner menu. Go a la carte or choose the omakase tasting experience at the chef's counter (currently 16 to 22 bites) that has a Michelin star. A soaring white bar lined with cranberry-colored stools sends out sharply conceived cocktails with Mediterranean ingredients like Greek olives, truffle honey, and limoncello. The team expanded its West End portfolio with the opening of Spanish-themed TheSaga in the Ritz-Carlton, followed up by its first foray into Virginia with avant-garde bistro Surreal near Amazon HQ2. Must-try dish: Moussaka cigar (crispy phyllo dough, smoked eggplant, ground lamb, and goat-manchego cream)","Mediterranean-Latin Fusion","Fine dining with soaring white bar","1124 23rd St NW, Washington, DC 20037"
Petite Cerise,"Open for: Morning pastries and coffee, lunch, brunch, and dinner Price range: $$$ Chef Jeremiah Langhorne and partner Alex Zink, the duo behind Michelin-starred sensation the Dabney, doubled down in Shaw with the 2023 opening of a French cafe-meets-bistro. Situated in a 130-year-old, two-story building, the bright corner respite exudes a low-key elegance with plenty of French influences across its 90-seat space and morning-to-night menus. Guests can start the day at the coffee bar and choose from traditional French pastries like ham and cheese croissants and pains au chocolat or try specialty Supreme croissants and cruffins stuffed with rotating flavors. Come back later for dishes like crispy Chesapeake catfish or beef bourguignon for dinner. A new prix fixe experience — only $58 a head — starts with a snack before moving on to options like scallops, escargots, and Parisian gnocchi. Best for: A slow indulgent lunch or brunch, with both offering fantastic beignets with raspberry preserves and a fluffy omelette filled with caramelized onion and gruyere cream.","French Bistro","Bright corner cafe with low-key elegance","1027 7th St NW (at L St NW), Washington, D.C. 20001"
Casa Teresa,"Open for: Lunch and dinner Monday through Saturday Price range: $$$$ Spanish chef Rubén García's flagship restaurant and tapas bar brought a lively new destination for live-fire cooking to the Square, downtown's ambitious new food market spearheaded by García and fellow José Andrés Group veteran Richie Brandenburg. Casa Teresa, García's first solo venture, revives ancestral recipes of the culinary matriarchs he grew up around in Terrassa, Spain, and celebrates the time-honored cooking traditions of Basque Country and Catalonia through family-style feasts — think whole fish, local veggies, and pass-the-plate meats — all theatrically grilled over open flames and oak charcoal from a kitchen within diners' view. The terracotta-toned dining room carves out space for a bar centered around gins, vermouth, and Spanish wines, plus an intimate "Teresa's Table" that encourages chatty chef-guest interactions over tastings. A Saturday brunch full of vermouth and family recipes entered the fold this spring. Must-try dish: The How to Pa Amb Tomáquet is a fun dish that supplies diners with the crispy cristal bread, sliced tomatoes, and high-quality olive oil to build their own pan con tomate, plus a fun illustration card showing you how it's done.","Spanish","Terracotta dining room with live-fire kitchen","919 19th Street Northwest, Washington, District of Columbia 20006"
Cucina Morini,"Open for: Dinner, weekend brunch Price range: $$ Mt. Vernon Triangle got the Italian eatery of its dreams last year, complete with fresh crudo, small plates, fish soup, homemade pastas (in half or whole portions), $7 martinis, and best-selling imports from its decade-old Osteria Morini sibling in Navy Yard. Matt Adler of Capitol Hill-born hit Caruso's Grocery — who was Osteria Morini's opening executive chef back in 2013 — is back on board to produce spot-on Sicilian meals at Osteria Morini. NYC-based parent company Altamarea Group combined its former Nicoletta Italian Kitchen and adjoining Brew'd cafe into one chic Southern Italian restaurant under DC Bar's headquarters, complete with a reimagined aperitivo bar and stylish new dining room. Must-try dish: Adler's weekend cornettos stuffed with Nutella","Southern Italian","Chic space with reimagined aperitivo bar","901 4th Street Northwest, Washington, District of Columbia 20001"
Baan Siam,"Open for: Lunch, dinner Price range: $$ At this roomy Thai restaurant in Mt. Vernon Triangle, chef Jeeraporn Poksupthon has a kitchen worthy of her skill and ambition. Poksupthon led large catering kitchens in Thailand before she helped usher a wave of chile-fueled Northern and Northeastern cooking into D.C. at now-closed Baan Thai in Logan Circle. At Baan Siam, she's playing the hits — creamy, crunchy, and complex khao soi; tapioca skin dumplings with ground chicken, peanuts, and sweet fermented radish; and all sorts of spicy-sweet salads — while exploring sour-leaning dishes from her home country's interior and ultra-hot curries from the South. Don't forget to order mini griddled coconut milk pancakes and mango stick rice (when in season) for dessert. Best for: A fun date with a dining companion that loves spicy food","Thai","Roomy space with spicy dishes","425 I St NW, Washington, DC 20001"
Centrolina,"Open for: Lunch and dinner Price range: $$ Nearly a decade in, seven-time James Beard nominee chef Amy Brandwein's polished osteria continues to shine in CityCenter DC. The five-time James Beard Award finalist goes all in on seasonal ingredients to construct a frequently changing Italian menu; that could mean melon-flanked snapper sashimi; peachy gazpacho; pristine pastas pumped up with purple broccoli and eggplant ragu; wood-fired mains like halibut and chanterelle mushrooms, lamb rib-eye, and pancetta-wrapped rabbit. Memorable desserts like an almond cake with fresh citrus, yuzu, and white chocolate come from Tonari alum and talented pastry chef Mary Mendoza. For something a little more casual (and affordable), consider Brandwein's all-day sibling cafe Piccolina across the street. If you drive: Don't — there are plenty of nearby Metro stops and little parking","Italian","Polished osteria in CityCenter DC","974 Palmer Aly NW, Washington, D.C. 20001"
Daru,"Open for: Dinner Price range: $$$ Dante Datta and Suresh Sundas, a respective drink expert and chef who met while working together at Rasika West End, reunited under one roof with an Indian restaurant and cocktail bar at a corner just south of H Street NE. At Daru, which landed on New York Times's coveted top 50 restaurants list in 2022, Sundas likes to combine Northern and Southern Indian cooking styles with some unorthodox touches. That includes za'atar olive naan, chicken tikka tacos, chimichurri chutneys, or a malai paneer lasagna spiced with white pepper and cardamom. Datta, an alum of now-closed Columbia Room, creates inventive riffs on classic drinks, like a Pisco cocktail with blueberry and coconut or a nonalcoholic pear and cinnamon lassi. The successful duo just opened an Indian and Nepali street food place, Tapori, further up in the H Street Corridor that's serving more casual bites in a transformed terracotta space covered in original art. Know before you go: This small neighborhood favorite fills up fast, look for reservations far in advance or prepare to settle in at the wood-carved bar Datta made himself.","Modern Indian","Small neighborhood spot with wood-carved bar","1451 Maryland Ave NE, Washington, DC 20002"
Tonari,"Open for: Daytime dining at the cafe, dinner Price range: $$ Katsuya Fukushima's wafu restaurant brings a Japanese spin to Italian dishes like pizza and pasta. That means thick, square pies with a crust made from Hokkaido wheat flour and smothered with Wisconsin brick cheese, available in varieties like pollock roe-covered Mentaiko corn. The chef is always experimenting; he just introduced a Monday night menu focused on Japanese-influenced cheesesteaks (don't forget to add an order of fries dripping with S&B curry sauce). The buzzy two-floor restaurant has a spacious bar downstairs (order a sesame martini for $12 during happy hour). If crowds are an issue, note that Fukushima, Yama Jewayni, and Daisuke Utagawa also own neighboring ramen shop and izakaya Daikaya and chicken ramen haunt Bantam King around the corner. Takeout and delivery here. Best for: An ambitious, reasonably affordable dinner before or after a Washington Capitals game","Japanese-Italian Fusion","Buzzy two-floor space with spacious bar","707 6th St NW, Washington, D.C. 20001"
